timestamp,open,high,low,close,volume,sma_50,sma_200,ema_20,macd,macd_signal,macd_hist,adx,rsi,stoch_k,stoch_d,cci,obv,vwap,volume_spike,resistance,support,bb_mid,bb_upper,bb_lower,atr,pattern_doji,pattern_hammer,pattern_shooting_star,pattern_bullish_engulfing,pattern_bearish_engulfing,pattern_engulfing,pattern_three_soldiers,returns_2_candles,LABEL
2026-04-01 00:00:00,68284.49,68284.49,68030.0,68046.0,124.90553,,,68046.0,0.0,0.0,0.0,,50.0,,,,0.0,68120.16333333333,False,,,,,,254.49000000000524,0,0,0,0,0,0,0,0.0032292860711871096,1
2026-04-01 00:15:00,68046.0,68223.71,67913.97,68000.0,198.39822,,,68041.61904761905,-3.669515669505927,-0.7339031339011854,-2.9356125356047413,100.00000000000001,0.0,,,,-198.39822,68074.58688765523,False,,,,,,258.4364285714338,0,0,0,0,0,0,0,0.0006764705882353894,0
2026-04-01 00:30:00,68000.0,68066.0,67853.3,68066.0,91.17536,,,68043.9410430839,-1.2377172263077227,-0.834665952382493,-0.40305127392522977,100.00000000000001,9.93975903614458,,,,-107.22286000000001,68057.10169860131,False,,,,,,255.16954081633116,0,1,0,1,0,1,0,-0.0015865483501308342,-1
2026-04-01 00:45:00,68066.0,68343.77,68034.39,68330.75,128.316,,,68071.25618183782,21.80130112351617,3.6925274627972398,18.108773660718928,97.71256200960528,36.993961988896544,,,,21.09313999999999,68099.4647128191,False,,,,,,259.0417164723078,0,0,0,0,0,0,0,-0.008020108077256616,-1
2026-04-01 01:00:00,68330.76,68378.64,68150.01,68265.74,170.25132,,,68089.77845023421,34.41738329360669,9.83749862895913,24.579884664647558,95.33428839528943,34.27148950061144,,,,-149.15818000000002,68138.9403797553,False,,,,,,256.8694510100005,0,0,0,0,0,0,0,-0.0061304543098777975,-1
2026-04-01 01:15:00,68265.74,68265.74,68030.0,68046.0,177.16973,,,68085.60907402143,26.38044045487186,13.146086994141676,13.234353460730183,93.31096001812428,27.03046774655826,,,,-326.32791,68133.95952762464,False,,,,,,255.36020450928655,0,0,0,0,0,0,0,-0.0059752226435058065,-1
2026-04-01 01:30:00,68046.0,68119.34,67785.62,67958.01,331.1785,,,68073.45678125748,12.763913268325268,13.069652248978395,-0.30573898065312655,91.75664009229149,24.773320105397076,,,,-657.50641,68085.25156506395,False,,,,,,260.9573327586233,0,0,0,0,0,0,0,-0.004335912720222268,-1
2026-04-01 01:45:00,67958.02,67962.24,67760.33,67782.73,288.08162,,,68045.76851637581,-12.032213880884228,8.049279023005871,-20.0814929038901,90.34405521569485,21.009669074004165,,,,-945.5880299999999,68037.51045838745,False,,,,,,256.7396661330076,0,0,0,0,0,0,0,-0.0016794838449262217,-1
2026-04-01 02:00:00,67782.74,67913.41,67712.61,67847.24,512.77026,,,68026.86103862574,-26.17616291367449,1.2041906356697991,-27.38035354934429,89.09200358010233,25.495929647247593,,,,-432.8177699999999,67983.4782483727,False,,,,,,252.7439756949358,0,0,0,0,0,0,0,0.002106349499257254,1
2026-04-01 02:15:00,67847.24,67913.98,67622.39,67639.41,146.84746,,,67989.960939709,-53.53833195174229,-9.74431388181262,-43.79401806992968,88.0404466732831,21.298967990335626,,,,-579.6652299999998,67965.9968972191,False,,,,,,255.51869171672587,0,0,0,0,1,-1,0,0.0049341057232756835,1
