timestamp,open,high,low,close,volume,sma_50,sma_200,ema_20,macd,macd_signal,macd_hist,adx,rsi,stoch_k,stoch_d,cci,obv,vwap,volume_spike,resistance,support,bb_mid,bb_upper,bb_lower,atr,pattern_doji,pattern_hammer,pattern_shooting_star,pattern_bullish_engulfing,pattern_bearish_engulfing,pattern_engulfing,pattern_three_soldiers,returns_2_candles,LABEL,price_momentum_1,price_momentum_5,price_momentum_20,volatility_20_pct,atr_ratio,sma_cross,ema_above_sma,macd_positive,price_above_200sma,rsi_oversold,rsi_overbought,stoch_oversold,volume_spike_ratio,obv_trending,distance_to_support_pct,distance_to_resistance_pct,price_in_upper_third,vwap_distance_pct,bb_position_pct
2026-04-01 00:00:00,68284.49,68284.49,68030.0,68046.0,124.90553,,,68046.0,0.0,0.0,0.0,,50.0,,,,0.0,68120.16333333333,False,,,,,,254.49000000000524,0,0,0,0,0,0,0,0.000293918819622,0,,,,,0.3739970020280476,0,0,0,0,0,0,0,0.0,0,,,0,-0.10887133809475143,
2026-04-01 00:15:00,68046.0,68223.71,67913.97,68000.0,198.39822,,,68041.61904761905,-3.669515669505927,-0.7339031339011854,-2.9356125356047413,100.0,0.0,,,,-198.39822,68074.58688765523,False,,,,,,258.4364285714338,0,0,0,0,0,0,0,0.0048639705882354,1,-0.06760132851306722,,,,0.3800535714285791,0,0,0,0,1,0,0,0.0,0,,,0,-0.10956641981290152,
2026-04-01 00:30:00,68000.0,68066.0,67853.3,68066.0,91.17536,,,68043.9410430839,-1.2377172263077227,-0.834665952382493,-0.4030512739252297,100.0,9.93975903614458,,,,-107.22286,68057.10169860131,False,,,,,,255.1695408163312,0,1,0,1,0,1,0,0.0029345047453943,1,0.09705882352941675,,,,0.3748854653076884,0,0,0,0,1,0,0,0.0,1,,,0,0.013074758073146179,
2026-04-01 00:45:00,68066.0,68343.77,68034.39,68330.75,128.316,,,68071.25618183782,21.80130112351617,3.69252746279724,18.108773660718928,97.71256200960528,36.993961988896544,,,,21.09313999999999,68099.4647128191,False,,,,,,259.0417164723078,0,0,0,0,0,0,0,-0.0041672307123805,-1,0.38896071460052806,,,,0.37909977056055705,0,0,1,0,0,0,0,0.0,1,,,0,0.3396286419522525,
2026-04-01 01:00:00,68330.76,68378.64,68150.01,68265.74,170.25132,,,68089.77845023421,34.41738329360669,9.83749862895913,24.57988466464756,95.33428839528943,34.27148950061144,,,,-149.15818000000002,68138.9403797553,False,,,,,,256.8694510100005,0,0,0,0,0,0,0,-0.0045078248620759,-1,-0.0951401821288278,,,,0.3762787175675536,0,0,1,0,0,0,0,0.0,0,,,0,0.186089803478047,
2026-04-01 01:15:00,68265.74,68265.74,68030.0,68046.0,177.16973,,,68085.60907402143,26.38044045487186,13.146086994141676,13.234353460730183,93.31096001812428,27.03046774655826,,,,-326.32791,68133.95952762464,False,,,,,,255.36020450928652,0,0,0,0,0,0,0,-0.0038690003820944,-1,-0.3218891350185382,0.0,,,0.37527584943903614,0,0,1,0,1,0,0,0.0,0,,,0,-0.12909792449237767,
2026-04-01 01:30:00,68046.0,68119.34,67785.62,67958.01,331.1785,,,68073.45678125748,12.763913268325268,13.069652248978397,-0.3057389806531265,91.75664009229148,24.77332010539708,,,,-657.50641,68085.25156506395,False,,,,,,260.9573327586233,0,0,0,0,0,0,0,-0.0016299770990938,-1,-0.12930958469271614,-0.06175000000000486,,,0.3839979021731556,0,0,1,0,1,0,0,0.0,0,,,0,-0.18688565017985487,
2026-04-01 01:45:00,67958.02,67962.24,67760.33,67782.73,288.08162,,,68045.76851637581,-12.032213880884228,8.049279023005871,-20.0814929038901,90.34405521569484,21.009669074004165,,,,-945.58803,68037.51045838745,False,,,,,,256.7396661330076,0,0,0,0,0,0,0,-0.0021144028869889,-1,-0.2579239739362582,-0.4161696000940296,,,0.3787685537791228,0,0,0,0,1,0,0,0.0,0,,,0,-0.37447057758422814,
2026-04-01 02:00:00,67782.74,67913.41,67712.61,67847.24,512.77026,,,68026.86103862574,-26.17616291367449,1.2041906356697991,-27.38035354934429,89.09200358010233,25.495929647247596,,,,-432.8177699999999,67983.4782483727,False,,,,,,252.7439756949358,0,0,0,0,0,0,0,-0.0027103534351581,-1,0.09517173474720142,-0.7076023605770421,,,0.3725191705586488,0,0,0,0,1,0,0,0.0,1,,,0,-0.20039905559842247,
2026-04-01 02:15:00,67847.24,67913.98,67622.39,67639.41,146.84746,,,67989.960939709,-53.53833195174229,-9.74431388181262,-43.79401806992968,88.0404466732831,21.298967990335623,,,,-579.6652299999998,67965.9968972191,False,,,,,,255.51869171672587,0,0,0,0,1,-1,0,0.0004358405846531,0,-0.3063204929190988,-0.9174880401208618,,,0.37776599724439625,0,0,0,0,1,0,0,0.0,0,,,0,-0.4805151283412682,
